ID,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,The Hills,The Weeknd,canadian contemporary r&b,2016,113,56,58,-7,14,14,242,7,5,84
2,Love Yourself,Justin Bieber,canadian pop,2016,100,38,61,-10,28,52,234,84,44,83
3,Cake By The Ocean,DNCE,dance pop,2016,119,75,77,-5,4,90,219,15,5,81
4,Don't Let Me Down,The Chainsmokers,electropop,2016,160,87,53,-5,14,42,208,16,17,81
5,In the Name of Love,Martin Garrix,big room,2016,134,52,50,-6,45,17,196,11,4,81
6,Into You,Ariana Grande,dance pop,2016,108,73,62,-6,14,37,244,2,11,80
7,This Is What You Came For,Calvin Harris,dance pop,2016,124,93,63,-3,15,47,222,20,3,80
8,Million Reasons,Lady Gaga,dance pop,2016,130,42,67,-8,11,15,205,49,4,80
9,Needed Me,Rihanna,barbadian pop,2016,111,31,67,-8,8,30,192,11,24,80
10,7 Years,Lukas Graham,danish pop,2016,120,47,77,-6,39,34,237,29,5,80
11,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,113,83,67,-6,19,70,236,1,7,79
12,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016,105,59,80,-6,6,59,214,10,4,79
13,Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,2016,97,74,57,-6,11,45,230,3,13,79
14,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop,2016,108,53,63,-7,18,42,225,40,4,79
15,Work,Rihanna,barbadian pop,2016,92,53,73,-6,9,56,219,8,9,78
16,Stitches,Shawn Mendes,canadian pop,2016,150,75,75,-7,5,76,207,2,7,78
17,"Me, Myself & I",G-Eazy,hip hop,2016,112,67,76,-7,16,38,251,2,10,78
18,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,102,71,66,-7,8,69,198,4,11,78
19,Dangerous Woman,Ariana Grande,dance pop,2016,134,60,66,-5,36,29,236,5,4,78
20,Starving,Hailee Steinfeld,dance pop,2016,100,62,73,-4,11,51,182,38,6,78
21,Shout Out to My Ex,Little Mix,dance pop,2016,126,75,77,-4,11,80,246,2,9,77
22,Electric Love,BØRNS,electropop,2016,120,80,61,-8,26,52,218,1,5,76
23,Confident,Demi Lovato,dance pop,2016,130,75,59,-6,9,34,206,0,7,75
