"row ID","userId","movieId","rating","timestamp","Prediction","title","genres"
"Row1548_Row9001",999999,26708,0,123,?,"Time to Kill (Tempo di uccidere) (1989)","Drama|War"
"Row1559_Row9090",999999,26853,0,123,?,"Dark Angel: Ascent, The (1994)","Horror|Romance"
"Row1596_Row9333",999999,27449,0,123,?,"Berlin Is in Germany (2001)","Drama"
"Row1660_Row9770",999999,31797,0,123,?,"White Banners (1938)","Drama"
"Row1829_Row10818",999999,43631,0,123,?,"Green Dolphin Street (1947)","Adventure|Drama|Romance"
"Row2068_Row12306",999999,56624,0,123,?,"Commune (2005)","Documentary"
"Row2123_Row12607",999999,59136,0,123,?,"Before Flying Back to Earth (Pries parskrendant i zeme) (2005)","Documentary"
"Row2221_Row13203",999999,64327,0,123,?,"Fools' Parade (1971)","Comedy|Drama|Thriller"
"Row2346_Row13943",999999,69880,0,123,?,"Summer of Fear (1996)","Drama|Horror|Mystery|Thriller"
"Row2627_Row15597",999999,79424,0,123,?,"Name for Evil, A (1973)","Horror"
